zipcode,ziptype,postalcity,zcta5,bcode,note,puma,pumaname
10279,Post Office or large volume customer,New York,10279,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10280,ZIP Code area,New York,10280,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10285,Post Office or large volume customer,New York,10280,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10080,Post Office or large volume customer,New York,10282,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10281,Post Office or large volume customer,New York,10282,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10282,ZIP Code area,New York,10282,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10301,ZIP Code area,Staten Island,10301,36085,,03903,"Port Richmond, Stapleton & Mariners Harbor"
10302,ZIP Code area,Staten Island,10302,36085,,03903,"Port Richmond, Stapleton & Mariners Harbor"
10303,ZIP Code area,Staten Island,10303,36085,,03903,"Port Richmond, Stapleton & Mariners Harbor"
10304,ZIP Code area,Staten Island,10304,36085,,03903,"Port Richmond, Stapleton & Mariners Harbor"
10305,ZIP Code area,Staten Island,10305,36085,,03902,New Springville & South Beach
10306,ZIP Code area,Staten Island,10306,36085,,03902,New Springville & South Beach
10307,ZIP Code area,Staten Island,10307,36085,,03901,"Tottenville, Great Kills & Annadale"
10308,ZIP Code area,Staten Island,10308,36085,,03901,"Tottenville, Great Kills & Annadale"
10309,ZIP Code area,Staten Island,10309,36085,,03901,"Tottenville, Great Kills & Annadale"
10310,ZIP Code area,Staten Island,10310,36085,,03903,"Port Richmond, Stapleton & Mariners Harbor"
10311,Post Office or large volume customer,Staten Island,10311,36085,,03902,New Springville & South Beach
10312,ZIP Code area,Staten Island,10312,36085,,03901,"Tottenville, Great Kills & Annadale"
10313,Post Office or large volume customer,Staten Island,10314,36085,,03902,New Springville & South Beach
10314,ZIP Code area,Staten Island,10314,36085,,03902,New Springville & South Beach
10451,ZIP Code area,Bronx,10451,36005,,03710,"Hunts Point, Longwood & Melrose"
10452,ZIP Code area,Bronx,10452,36005,,03708,"Concourse, Highbridge & Mount Eden"
10453,ZIP Code area,Bronx,10453,36005,,03707,"Morris Heights, Fordham South & Mount Hope"
10454,ZIP Code area,Bronx,10454,36005,,03710,"Hunts Point, Longwood & Melrose"
10455,ZIP Code area,Bronx,10455,36005,,03710,"Hunts Point, Longwood & Melrose"
10456,ZIP Code area,Bronx,10456,36005,,03705,"Belmont, Crotona Park East & East Tremont"
10457,ZIP Code area,Bronx,10457,36005,,03707,"Morris Heights, Fordham South & Mount Hope"
10458,ZIP Code area,Bronx,10458,36005,,03706,"Bedford Park, Fordham North & Norwood"
10459,ZIP Code area,Bronx,10459,36005,,03710,"Hunts Point, Longwood & Melrose"
10460,ZIP Code area,Bronx,10460,36005,,03705,"Belmont, Crotona Park East & East Tremont"
10461,ZIP Code area,Bronx,10461,36005,,03703,"Co-op City, Pelham Bay & Schuylerville"
10462,ZIP Code area,Bronx,10462,36005,,03709,"Castle Hill, Clason Point & Parkchester"
10463,ZIP Code area,Bronx,10463,36005,"Includes Marble Hill, which is part of Manhattan",03701,"Riverdale, Fieldston & Kingsbridge"
10464,ZIP Code area,Bronx,10464,36005,,03703,"Co-op City, Pelham Bay & Schuylerville"
10465,ZIP Code area,Bronx,10465,36005,,03703,"Co-op City, Pelham Bay & Schuylerville"
10466,ZIP Code area,Bronx,10466,36005,,03702,"Wakefield, Williamsbridge & Woodlawn"
10467,ZIP Code area,Bronx,10467,36005,,03706,"Bedford Park, Fordham North & Norwood"
10468,ZIP Code area,Bronx,10468,36005,,03706,"Bedford Park, Fordham North & Norwood"
10469,ZIP Code area,Bronx,10469,36005,,03704,"Pelham Parkway, Morris Park & Laconia"
10470,ZIP Code area,Bronx,10470,36005,,03702,"Wakefield, Williamsbridge & Woodlawn"
10471,ZIP Code area,Bronx,10471,36005,,03701,"Riverdale, Fieldston & Kingsbridge"
10472,ZIP Code area,Bronx,10472,36005,,03709,"Castle Hill, Clason Point & Parkchester"
10473,ZIP Code area,Bronx,10473,36005,,03709,"Castle Hill, Clason Point & Parkchester"
10474,ZIP Code area,Bronx,10474,36005,,03710,"Hunts Point, Longwood & Melrose"
10475,ZIP Code area,Bronx,10475,36005,,03703,"Co-op City, Pelham Bay & Schuylerville"
11001,ZIP Code area,Floral Park,11001,36081,Primarily located in Nassau County,,
11002,Post Office or large volume customer,Floral Park,11001,36081,Primarily located in Nassau County,,
11003,ZIP Code area,Elmont,11003,36081,Primarily located in Nassau County,,
11004,ZIP Code area,Glen Oaks,11004,36081,,04105,"Queens Village, Cambria Heights & Rosedale"
11005,ZIP Code area,Floral Park,11005,36081,,04105,"Queens Village, Cambria Heights & Rosedale"
11040,ZIP Code area,New Hyde Park,11040,36081,Primarily located in Nassau County,,
11101,ZIP Code area,Long Island City,11101,36081,,04101,Astoria & Long Island City
11120,Post Office or large volume customer,Long Island City,11101,36081,,04101,Astoria & Long Island City
11102,ZIP Code area,Astoria,11102,36081,,04101,Astoria & Long Island City
11103,ZIP Code area,Astoria,11103,36081,,04101,Astoria & Long Island City
11104,ZIP Code area,Sunnyside,11104,36081,,04109,Sunnyside & Woodside
11105,ZIP Code area,Astoria,11105,36081,,04101,Astoria & Long Island City
11106,ZIP Code area,Astoria,11106,36081,,04101,Astoria & Long Island City
11109,ZIP Code area,Long Island City,11109,36081,,04109,Sunnyside & Woodside
11201,ZIP Code area,Brooklyn,11201,36047,,04004,Brooklyn Heights & Fort Greene
11202,Post Office or large volume customer,Brooklyn,11201,36047,,04004,Brooklyn Heights & Fort Greene
11241,Post Office or large volume customer,Brooklyn,11201,36047,,04004,Brooklyn Heights & Fort Greene
11242,Post Office or large volume customer,Brooklyn,11201,36047,,04004,Brooklyn Heights & Fort Greene
11245,Post Office or large volume customer,Brooklyn,11201,36047,,04004,Brooklyn Heights & Fort Greene
11203,ZIP Code area,Brooklyn,11203,36047,,04010,"East Flatbush, Farragut & Rugby"
11204,ZIP Code area,Brooklyn,11204,36047,,04017,Bensonhurst & Bath Beach
11205,ZIP Code area,Brooklyn,11205,36047,,04004,Brooklyn Heights & Fort Greene
11206,ZIP Code area,Brooklyn,11206,36047,,04003,Bedford-Stuyvesant
11207,ZIP Code area,Brooklyn,11207,36047,,04008,East New York & Starrett City
11208,ZIP Code area,Brooklyn,11208,36047,,04008,East New York & Starrett City
11256,Post Office or large volume customer,Brooklyn,11208,36047,,04008,East New York & Starrett City
11209,ZIP Code area,Brooklyn,11209,36047,,04013,Bay Ridge & Dyker Heights
11252,ZIP Code area,Brooklyn,11209,36047,,04013,Bay Ridge & Dyker Heights
11210,ZIP Code area,Brooklyn,11210,36047,,04015,Flatbush & Midwood
11211,ZIP Code area,Brooklyn,11211,36047,,04001,Greenpoint & Williamsburg
11249,ZIP Code area,Brooklyn,11211,36047,,04001,Greenpoint & Williamsburg
11251,ZIP Code area,Brooklyn,11211,36047,,04001,Greenpoint & Williamsburg
11212,ZIP Code area,Brooklyn,11212,36047,,04007,Brownsville & Ocean Hill
11213,ZIP Code area,Brooklyn,11213,36047,,04006,Crown Heights North & Prospect Heights
11214,ZIP Code area,Brooklyn,11214,36047,,04017,Bensonhurst & Bath Beach
11215,ZIP Code area,Brooklyn,11215,36047,,04005,"Park Slope, Carroll Gardens & Red Hook"
11216,ZIP Code area,Brooklyn,11216,36047,,04003,Bedford-Stuyvesant
11247,Post Office or large volume customer,Brooklyn,11216,36047,,04003,Bedford-Stuyvesant
11217,ZIP Code area,Brooklyn,11217,36047,,04004,Brooklyn Heights & Fort Greene
11243,Post Office or large volume customer,Brooklyn,11217,36047,,04004,Brooklyn Heights & Fort Greene
11218,ZIP Code area,Brooklyn,11218,36047,,04014,"Borough Park, Kensington & Ocean Parkway"
11219,ZIP Code area,Brooklyn,11219,36047,,04014,"Borough Park, Kensington & Ocean Parkway"
11220,ZIP Code area,Brooklyn,11220,36047,,04012,Sunset Park & Windsor Terrace
11221,ZIP Code area,Brooklyn,11221,36047,,04003,Bedford-Stuyvesant
11222,ZIP Code area,Brooklyn,11222,36047,,04001,Greenpoint & Williamsburg
11223,ZIP Code area,Brooklyn,11223,36047,,04017,Bensonhurst & Bath Beach
11224,ZIP Code area,Brooklyn,11224,36047,,04018,Brighton Beach & Coney Island
11225,ZIP Code area,Brooklyn,11225,36047,,04011,"Crown Heights South, Prospect Lefferts & Wingate"
11226,ZIP Code area,Brooklyn,11226,36047,,04015,Flatbush & Midwood
11228,ZIP Code area,Brooklyn,11228,36047,,04013,Bay Ridge & Dyker Heights
11229,ZIP Code area,Brooklyn,11229,36047,,04016,"Sheepshead Bay, Gerritsen Beach & Homecrest"
11230,ZIP Code area,Brooklyn,11230,36047,,04015,Flatbush & Midwood
11231,ZIP Code area,Brooklyn,11231,36047,,04005,"Park Slope, Carroll Gardens & Red Hook"
11232,ZIP Code area,Brooklyn,11232,36047,,04012,Sunset Park & Windsor Terrace
11233,ZIP Code area,Brooklyn,11233,36047,,04007,Brownsville & Ocean Hill
11234,ZIP Code area,Brooklyn,11234,36047,,04009,Canarsie & Flatlands
11235,ZIP Code area,Brooklyn,11235,36047,,04016,"Sheepshead Bay, Gerritsen Beach & Homecrest"
11236,ZIP Code area,Brooklyn,11236,36047,,04009,Canarsie & Flatlands
11237,ZIP Code area,Brooklyn,11237,36047,,04002,Bushwick
11238,ZIP Code area,Brooklyn,11238,36047,,04006,Crown Heights North & Prospect Heights
11239,ZIP Code area,Brooklyn,11239,36047,,04008,East New York & Starrett City
11351,Post Office or large volume customer,Flushing,11351,36081,,04103,"Flushing, Murray Hill & Whitestone"
11354,ZIP Code area,Flushing,11354,36081,,04103,"Flushing, Murray Hill & Whitestone"
11352,Post Office or large volume customer,Flushing,11355,36081,,04103,"Flushing, Murray Hill & Whitestone"
11355,ZIP Code area,Flushing,11355,36081,,04103,"Flushing, Murray Hill & Whitestone"
11356,ZIP Code area,College Point,11356,36081,,04103,"Flushing, Murray Hill & Whitestone"
11357,ZIP Code area,Whitestone,11357,36081,,04103,"Flushing, Murray Hill & Whitestone"
11358,ZIP Code area,Flushing,11358,36081,,04103,"Flushing, Murray Hill & Whitestone"
11359,ZIP Code area,Bayside,11359,36081,,04103,"Flushing, Murray Hill & Whitestone"
11360,ZIP Code area,Bayside,11360,36081,,04103,"Flushing, Murray Hill & Whitestone"
11361,ZIP Code area,Bayside,11361,36081,,04104,"Bayside, Douglaston & Little Neck"
11362,ZIP Code area,Little Neck,11362,36081,,04104,"Bayside, Douglaston & Little Neck"
11363,ZIP Code area,Little Neck,11363,36081,,04104,"Bayside, Douglaston & Little Neck"
11364,ZIP Code area,Oakland Gardens,11364,36081,,04104,"Bayside, Douglaston & Little Neck"
11365,ZIP Code area,Fresh Meadows,11365,36081,,04106,"Briarwood, Fresh Meadows & Hillcrest"
11366,ZIP Code area,Fresh Meadows,11366,36081,,04106,"Briarwood, Fresh Meadows & Hillcrest"
11367,ZIP Code area,Flushing,11367,36081,,04106,"Briarwood, Fresh Meadows & Hillcrest"
11368,ZIP Code area,Corona,11368,36081,,04107,Elmhurst & South Corona
11369,ZIP Code area,East Elmhurst,11369,36081,,04102,Jackson Heights & North Corona
11370,ZIP Code area,East Elmhurst,11370,36081,"Includes Rikers Island, which is part of the Bronx",04102,Jackson Heights & North Corona
11371,ZIP Code area,Flushing,11371,36081,,04102,Jackson Heights & North Corona
11372,ZIP Code area,Jackson Heights,11372,36081,,04102,Jackson Heights & North Corona
11373,ZIP Code area,Elmhurst,11373,36081,,04107,Elmhurst & South Corona
11380,Post Office or large volume customer,Elmhurst,11373,36081,,04107,Elmhurst & South Corona
11374,ZIP Code area,Rego Park,11374,36081,,04108,Forest Hills & Rego Park
11375,ZIP Code area,Forest Hills,11375,36081,,04108,Forest Hills & Rego Park
11377,ZIP Code area,Woodside,11377,36081,,04109,Sunnyside & Woodside
11378,ZIP Code area,Maspeth,11378,36081,,04110,"Ridgewood, Glendale & Middle Village"
11379,ZIP Code area,Middle Village,11379,36081,,04110,"Ridgewood, Glendale & Middle Village"
11381,Post Office or large volume customer,Flushing,11379,36081,,04110,"Ridgewood, Glendale & Middle Village"
11385,ZIP Code area,Ridgewood,11385,36081,,04110,"Ridgewood, Glendale & Middle Village"
11386,Post Office or large volume customer,Ridgewood,11385,36081,,04110,"Ridgewood, Glendale & Middle Village"
11411,ZIP Code area,Cambria Heights,11411,36081,,04105,"Queens Village, Cambria Heights & Rosedale"
11412,ZIP Code area,Saint Albans,11412,36081,,04112,"Jamaica, Hollis & St. Albans"
11413,ZIP Code area,Springfield Gardens,11413,36081,,04105,"Queens Village, Cambria Heights & Rosedale"
11414,ZIP Code area,Howard Beach,11414,36081,,04113,Howard Beach & Ozone Park
11415,ZIP Code area,Kew Gardens,11415,36081,,04111,Richmond Hill & Woodhaven
11416,ZIP Code area,Ozone Park,11416,36081,,04111,Richmond Hill & Woodhaven
11417,ZIP Code area,Ozone Park,11417,36081,,04113,Howard Beach & Ozone Park
11418,ZIP Code area,Richmond Hill,11418,36081,,04111,Richmond Hill & Woodhaven
11419,ZIP Code area,South Richmond Hill,11419,36081,,04113,Howard Beach & Ozone Park
11420,ZIP Code area,South Ozone Park,11420,36081,,04113,Howard Beach & Ozone Park
11421,ZIP Code area,Woodhaven,11421,36081,,04111,Richmond Hill & Woodhaven
11422,ZIP Code area,Rosedale,11422,36081,,04105,"Queens Village, Cambria Heights & Rosedale"
11423,ZIP Code area,Hollis,11423,36081,,04112,"Jamaica, Hollis & St. Albans"
11424,Post Office or large volume customer,Jamaica,11424,36081,,04111,Richmond Hill & Woodhaven
11425,Post Office or large volume customer,Jamaica,11425,36047,,04013,Bay Ridge & Dyker Heights
11426,ZIP Code area,Bellerose,11426,36081,,04105,"Queens Village, Cambria Heights & Rosedale"
11427,ZIP Code area,Queens Village,11427,36081,,04105,"Queens Village, Cambria Heights & Rosedale"
11428,ZIP Code area,Queens Village,11428,36081,,04105,"Queens Village, Cambria Heights & Rosedale"
11429,ZIP Code area,Queens Village,11429,36081,,04105,"Queens Village, Cambria Heights & Rosedale"
11430,ZIP Code area,Jamaica,11430,36081,,04113,Howard Beach & Ozone Park
11499,Post Office or large volume customer,Jamaica,11430,36081,,04113,Howard Beach & Ozone Park
11431,Post Office or large volume customer,Jamaica,11432,36081,,04106,"Briarwood, Fresh Meadows & Hillcrest"
11432,ZIP Code area,Jamaica,11432,36081,,04106,"Briarwood, Fresh Meadows & Hillcrest"
11439,ZIP Code area,Jamaica,11432,36081,,04106,"Briarwood, Fresh Meadows & Hillcrest"
11405,Post Office or large volume customer,Jamaica,11433,36081,,04112,"Jamaica, Hollis & St. Albans"
11433,ZIP Code area,Jamaica,11433,36081,,04112,"Jamaica, Hollis & St. Albans"
11434,ZIP Code area,Jamaica,11434,36081,,04112,"Jamaica, Hollis & St. Albans"
11435,ZIP Code area,Jamaica,11435,36081,,04112,"Jamaica, Hollis & St. Albans"
11436,ZIP Code area,Jamaica,11436,36081,,04112,"Jamaica, Hollis & St. Albans"
11451,Post Office or large volume customer,Jamaica,11451,36081,,04112,"Jamaica, Hollis & St. Albans"
11690,Post Office or large volume customer,Far Rockaway,11691,36081,,04114,"Far Rockaway, Breezy Point & Broad Channel"
11691,ZIP Code area,Far Rockaway,11691,36081,,04114,"Far Rockaway, Breezy Point & Broad Channel"
11692,ZIP Code area,Arverne,11692,36081,,04114,"Far Rockaway, Breezy Point & Broad Channel"
11693,ZIP Code area,Far Rockaway,11693,36081,,04114,"Far Rockaway, Breezy Point & Broad Channel"
11695,Post Office or large volume customer,Far Rockaway,11693,36081,,04114,"Far Rockaway, Breezy Point & Broad Channel"
11694,ZIP Code area,Rockaway Park,11694,36081,,04114,"Far Rockaway, Breezy Point & Broad Channel"
11697,ZIP Code area,Breezy Point,11697,36081,,04114,"Far Rockaway, Breezy Point & Broad Channel"
